X,Y,objectid,feature_type,industry_id,station_name,station_owner,station_description,station_address,station_suburb,station_postcode,station_state,operational_status,spatial_confidence,gnaf_assignment_method,station_revised_date,gnaf_formatted_address,gnaf_address_detail_pid,gnaf_confidence,gnaf_suburb,gnaf_postcode,distance_to_gnaf
145.13245,-37.8531169999999,2744,PETROL STATION,,SAFEWAY CALTEX BURWOOD EAST,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,50 MIDDLEBOROUGH ROAD,BURWOOD EAST,3151,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,50 MIDDLEBOROUGH ROAD,GAVIC422171208,1,BURWOOD EAST,3151,14
144.73728,-37.277229,2745,PETROL STATION,,LANCEFIELD MOTORS,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,74 MAIN ROAD,LANCEFIELD,3435,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,74 MAIN ROAD,GAVIC421610972,1,LANCEFIELD,3435,16.89999962
145.080219,-38.253667,2746,PETROL STATION,,COLES EXPRESS MOOROODUC,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,993 MOOROODUC HIGHWAY,MOOROODUC,3933,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,993 MOOROODUC HIGHWAY,GAVIC421659603,1,MOOROODUC,3933,32.40000153
144.882248,-37.775425,2749,PETROL STATION,,SAFEWAY CALTEX MARIBYRNONG,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,17-23 WILLIAMSON ROAD,MAIDSTONE,3012,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,17-23 WILLIAMSON ROAD,GAVIC419590824,1,MAIDSTONE,3012,59.20000076
144.9753181,-37.7977220999999,2750,PETROL STATION,,FITZROY,7-ELEVEN PTY LTD,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,244 NICHOLSON STREET,FITZROY,3065,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,13/07/2012,244 NICHOLSON STREET,GAVIC420738501,1,FITZROY,3065,9.10000038
145.134354,-38.148967,2751,PETROL STATION,,SAFEWAY CALTEX FRANKSTON,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,41 MCMAHONS ROAD,FRANKSTON,3199,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,41 MCMAHONS ROAD,GAVIC719423709,0,FRANKSTON,3199,14.60000038
145.240223,-38.078298,2752,PETROL STATION,5443,BP WESTERNPORT HIGHWAY,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,910 THOMPSONS ROAD,CRANBOURNE WEST,3977,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,910 THOMPSONS ROAD,GAVIC719002464,0,CRANBOURNE WEST,3977,41.29999924
144.939508,-37.641541,2754,PETROL STATION,,CALTEX ROXBURGH PARK,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,124-130 SOMERTON ROAD,SOMERTON,3062,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,124-130 SOMERTON ROAD,GAVIC421945178,1,SOMERTON,3062,69
145.156286,-38.1128229999999,2756,PETROL STATION,44353,ADELAIDE FUEL DISTRIBUTORS PTY LTD,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,267 SEAFORD ROAD,SEAFORD,3198,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,267 SEAFORD ROAD,GAVIC420737106,1,SEAFORD,3198,11
144.35297,-38.1439589999999,2757,PETROL STATION,,COLES EXPRESS LATROBE TERRACE,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,202 LATROBE TERRACE,GEELONG WEST,3218,VIC,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,202 LATROBE TERRACE,GAVIC414084501,0,GEELONG WEST,3218,14.5
