Station Name,Address,City,Postal Code,Region,Country,Latitude,Longitude,Location Details,Category
"INDEPENDENT KALKALLO","1330 HUME FREEWAY","KALKALLO","3064","VIC","AUSTRALIA",-37.5264,144.9483,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX BURWOOD EAST","50 MIDDLEBOROUGH ROAD","BURWOOD EAST","3151","VIC","AUSTRALIA",-37.8531,145.1325,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"LANCEFIELD MOTORS","74 MAIN ROAD","LANCEFIELD","3435","VIC","AUSTRALIA",-37.2772,144.7373,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS MOOROODUC","993 MOOROODUC HIGHWAY","MOOROODUC","3933","VIC","AUSTRALIA",-38.2537,145.0802,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP MILDURA","719-721 FIFTEENTH STREET","MILDURA","3500","VIC","AUSTRALIA",-34.2145,142.1464,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP SOUTH SHEPPARTON","8042 GOULBURN VALLEY HIGHWAY","KIALLA","3631","VIC","AUSTRALIA",-36.4072,145.3945,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX MARIBYRNONG","17-23 WILLIAMSON ROAD","MAIDSTONE","3012","VIC","AUSTRALIA",-37.7754,144.8822,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"FITZROY","244 NICHOLSON STREET","FITZROY","3065","VIC","AUSTRALIA",-37.7977,144.9753,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX FRANKSTON","41 MCMAHONS ROAD","FRANKSTON","3199","VIC","AUSTRALIA",-38.149,145.1344,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP WESTERNPORT HIGHWAY","910 THOMPSONS ROAD","CRANBOURNE WEST","3977","VIC","AUSTRALIA",-38.0783,145.2402,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS PONDEROSA","465 RAGLAN PARADE","WARRNAMBOOL","3280","VIC","AUSTRALIA",-38.3837,142.4913,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX ROXBURGH PARK","124-130 SOMERTON ROAD","SOMERTON","3062","VIC","AUSTRALIA",-37.6415,144.9395,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP KERANG","19 WELLINGTON STREET","KERANG","3579","VIC","AUSTRALIA",-35.7347,143.9222,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"ADELAIDE FUEL DISTRIBUTORS PTY LTD","267 SEAFORD ROAD","SEAFORD","3198","VIC","AUSTRALIA",-38.1128,145.1563,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS LATROBE TERRACE","202 LATROBE TERRACE","GEELONG WEST","3218","VIC","AUSTRALIA",-38.144,144.353,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"BP 2GO NORTH BALLARAT","702 CRESWICK ROAD","BALLARAT","3350","VIC","AUSTRALIA",-37.5419,143.8506,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS WANTIRNA SOUTH","435 STUD ROAD","WANTIRNA SOUTH","3152","VIC","AUSTRALIA",-37.8775,145.2336,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"COLES EXPRESS ORMOND","423 NORTH ROAD","ORMOND","3204","VIC","AUSTRALIA",-37.9032,145.0364,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"MARYBOROUGH","24-26 TUAGGRA STREET","MARYBOROUGH","3465","VIC","AUSTRALIA",-37.0476,143.7419,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"CALTEX SAFEWAY CHELTENHAM","299 CHARMAN ROAD","CHELTENHAM","3192","VIC","AUSTRALIA",-37.9651,145.0554,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
"SAFEWAY CALTEX DIAMOND CREEK","307 DIAMOND CREEK ROAD","PLENTY","3090","VIC","AUSTRALIA",-37.6786,145.1235,"AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS",3812407
