id,Station Name,Address,City,Postal Code,Region,Latitude,Longitude,Category,Fuel Prices,Location Details,brand
20,7 ELEVEN HOPPERS CROSSING,380 MORRIS ROAD,HOPPERS CROSSING,3029,VIC,-37.8500,144.7100,PETROL STATION,,HOPPERS CROSSING,Untitled.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/nj4FIn03Qp6YiPQoiSi7wknFunygvsgV_ede798aad40db3d903ea49156e9a49390949776bda1271071a136db78b605efe.png)
50,7 ELEVEN KINGS PARK,1 KINGS ROAD,KINGS PARK,3021,VIC,-37.7400,144.7800,PETROL STATION,,KINGS PARK,Untitled.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/nj4FIn03Qp6YiPQoiSi7wknFunygvsgV_ede798aad40db3d903ea49156e9a49390949776bda1271071a136db78b605efe.png)
609,ADELAIDE FUEL DISTRIBUTORS PTY LTD,267 SEAFORD ROAD,SEAFORD,3198,VIC,-38.1100,145.1600,PETROL STATION,,SEAFORD,
581,ALBERTON ROADHOUSE,131 BROUGHTON STREET,ALBERTON,3971,VIC,-38.6200,146.6700,PETROL STATION,,ALBERTON,
500,ALPINE ,233 MYRTLE STREET,MYRTLEFORD,3737,VIC,-36.5600,146.7200,PETROL STATION,,MYRTLEFORD,
627,ALTONA NORTH,276 BLACKSHAWS ROAD,ALTONA NORTH,3025,VIC,-37.8300,144.8600,PETROL STATION,,ALTONA NORTH,
112,AMPOL BEECHWORTH,2 HIGH STREET,BEECHWORTH,3747,VIC,-36.3700,146.6800,PETROL STATION,,BEECHWORTH,
114,AMPOL BEECHWORTH,2 HIGH STREET,BEECHWORTH,3747,VIC,-36.3700,146.6800,PETROL STATION,,BEECHWORTH,
334,AMPOL BROOKLYN,574 GEELONG ROAD,BROOKLYN,3012,VIC,-37.8200,144.8500,PETROL STATION,,BROOKLYN,
664,Ampol Foodary Wollert,,Wollert,3450,Victoria,,,,,,
110,AMPOL LEXTON,3554 SUNRAYSIA HIGHWAY,LEXTON,3352,VIC,-37.2700,143.5200,PETROL STATION,,LEXTON,
111,AMPOL LOWER PLENTY,49 MAIN ROAD,LOWER PLENTY,3093,VIC,-37.7300,145.1100,PETROL STATION,,LOWER PLENTY,
115,AMPOL MALLACOOTA,44 MAURICE AVENUE,MALLACOOTA,3892,VIC,-37.5600,149.7600,PETROL STATION,,MALLACOOTA,
113,AMPOL TREMONT,100 MOUNT DANDENONG TOURIST ROAD,TREMONT,3785,VIC,-37.8900,145.3300,PETROL STATION,,TREMONT,
663,APCO Epping,,Epping,3076,ViC,-37.6500,145.0300,petrol-stations,,,
83,BAIRNSDALE,57 MAIN STREET,BAIRNSDALE,3875,VIC,-37.8300,147.6400,PETROL STATION,,BAIRNSDALE,
614,BAYSWATER,477 DORSET ROAD,BAYSWATER,3153,VIC,-37.8400,145.2900,PETROL STATION,,BAYSWATER,
586,BENETOOK AUTOMOTIVE,488-490 BENETOOK AVENUE,MILDURA,3500,VIC,-34.2100,142.1700,PETROL STATION,,MILDURA,
619,BENTLEIGH EAST,641-643 CENTRE ROAD,BENTLEIGH EAST,3165,VIC,-37.9200,145.0500,PETROL STATION,,BENTLEIGH EAST,
52,BOX HILL,786 WHITEHORSE ROAD,BOX HILL,3127,VIC,-37.8200,145.1100,PETROL STATION,,BOX HILL,
247,BP  BAYSWATER,362-366 BAYSWATER ROAD,BAYSWATER,3153,VIC,-37.8300,145.2700,PETROL STATION,,BAYSWATER,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
121,BP  BOX HILL SOUTH,891 CANTERBURY ROAD,BOX HILL,3128,VIC,-37.8300,145.1200,PETROL STATION,,BOX HILL,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
170,BP  BRAYBROOK,277-281 BALLARAT ROAD,BRAYBROOK,3019,VIC,-37.7800,144.8600,PETROL STATION,,BRAYBROOK,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
159,BP  BROOKLYN,737 GEELONG ROAD,BROOKLYN,3012,VIC,-37.8200,144.8300,PETROL STATION,,BROOKLYN,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
188,BP  BURWOOD,144 BURWOOD HIGHWAY,BURWOOD,3125,VIC,-37.8500,145.1000,PETROL STATION,,BURWOOD,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
127,BP  CALDER INBOUND,1262 CALDER FREEWAY,KEILOR NORTH,3036,VIC,-37.6700,144.7500,PETROL STATION,,KEILOR NORTH,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
216,BP  CALDER OUTBOUND,937 CALDER FREEWAY,CALDER PARK,3037,VIC,-37.6700,144.7500,PETROL STATION,,CALDER PARK,BP.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/8dp8lKdUIKL9PTLqEjgfjhyA2OXBCxQa_2abd109a8cf3c8978a585dcd1c2579edd9593c831d0e20cf228af2c2bdf720dc.png)
